id,name,hp,atk,def,spd,type1,type2,spAtk,spDef,moves
1,Bulbasaur,45,49,49,45,GRASS,POISON,65,65,Tackle;Growl;Leech Seed;Vine Whip;Sleep Powder;Razor Leaf;Growth;Solar Beam
2,Ivysaur,60,62,63,60,GRASS,POISON,80,80,Tackle;Growl;Leech Seed;Vine Whip;Poison Powder;Razor Leaf;Take Down;Solar Beam
3,Venusaur,80,82,83,80,GRASS,POISON,100,100,Tackle;Growl;Leech Seed;Vine Whip;Sleep Powder;Razor Leaf;Growth;Solar Beam
4,Charmander,39,52,43,65,FIRE,,60,50,Scratch;Growl;Ember;Leer;Rage;Slash;Flamethrower;Fire Spin
5,Charmeleon,58,64,58,80,FIRE,,80,65,Scratch;Growl;Ember;Leer;Rage;Slash;Flamethrower;Fire Spin
6,Charizard,78,84,78,100,FIRE,FLYING,109,85,Scratch;Growl;Ember;Leer;Rage;Slash;Flamethrower;Fire Spin;Fly;Wing Attack
7,Squirtle,44,48,65,43,WATER,,50,64,Tackle;Tail Whip;Bubble;Withdraw;Water Gun;Bite;Skull Bash;Hydro Pump
8,Wartortle,59,63,80,58,WATER,,65,80,Tackle;Tail Whip;Bubble;Withdraw;Water Gun;Bite;Skull Bash;Hydro Pump
9,Blastoise,79,83,100,78,WATER,,85,105,Tackle;Tail Whip;Bubble;Withdraw;Water Gun;Bite;Skull Bash;Hydro Pump;Surf
10,Caterpie,45,30,35,45,BUG,,20,20,Tackle;String Shot
11,Metapod,50,20,55,30,BUG,,25,25,Harden
12,Butterfree,60,45,50,70,BUG,FLYING,90,80,Confusion;Poison Powder;Stun Spore;Sleep Powder;Supersonic;Psybeam;Gust;Whirlwind
13,Weedle,40,35,30,50,BUG,POISON,20,20,Poison Sting;String Shot
14,Kakuna,45,25,50,35,BUG,POISON,25,25,Harden
15,Beedrill,65,90,40,75,BUG,POISON,45,80,Fury Attack;Focus Energy;Twineedle;Rage;Pin Missile;Agility
16,Pidgey,40,45,40,56,NORMAL,FLYING,35,35,Gust;Sand Attack;Quick Attack;Whirlwind;Wing Attack;Agility;Mirror Move
17,Pidgeotto,63,60,55,71,NORMAL,FLYING,50,50,Gust;Sand Attack;Quick Attack;Whirlwind;Wing Attack;Agility;Mirror Move
18,Pidgeot,83,80,75,101,NORMAL,FLYING,70,70,Gust;Sand Attack;Quick Attack;Whirlwind;Wing Attack;Agility;Mirror Move;Fly
19,Rattata,30,56,35,72,NORMAL,,25,35,Tackle;Tail Whip;Quick Attack;Focus Energy;Bite;Super Fang
20,Raticate,55,81,60,97,NORMAL,,50,70,Tackle;Tail Whip;Quick Attack;Focus Energy;Bite;Super Fang;Hyper Fang
21,Spearow,40,60,30,70,NORMAL,FLYING,31,31,Peck;Growl;Leer;Fury Attack;Mirror Move;Drill Peck;Agility
22,Fearow,65,90,65,100,NORMAL,FLYING,61,61,Peck;Growl;Leer;Fury Attack;Mirror Move;Drill Peck;Agility;Fly
23,Ekans,35,60,44,55,POISON,,40,54,Wrap;Leer;Poison Sting;Bite;Glare;Screech;Acid
24,Arbok,60,95,69,80,POISON,,65,79,Wrap;Leer;Poison Sting;Bite;Glare;Screech;Acid;Hyper Beam
25,Pikachu,35,55,40,90,ELECTRIC,,50,50,Thunder Shock;Growl;Thunder Wave;Quick Attack;Swift;Agility;Thunderbolt;Thunder
26,Raichu,60,90,55,110,ELECTRIC,,90,80,Thunder Shock;Growl;Thunder Wave;Quick Attack;Swift;Agility;Thunderbolt;Thunder
27,Sandshrew,50,75,85,40,GROUND,,20,30,Scratch;Sand Attack;Slash;Poison Sting;Swift;Fury Swipes
28,Sandslash,75,100,110,65,GROUND,,45,55,Scratch;Sand Attack;Slash;Poison Sting;Swift;Fury Swipes;Earthquake
29,Nidoran F,55,47,52,41,POISON,,40,40,Growl;Tackle;Scratch;Poison Sting;Tail Whip;Bite;Fury Swipes;Double Kick
30,Nidorina,70,62,67,56,POISON,,55,55,Growl;Tackle;Scratch;Poison Sting;Tail Whip;Bite;Fury Swipes;Double Kick
31,Nidoqueen,90,92,87,76,POISON,GROUND,75,85,Scratch;Poison Sting;Body Slam;Double Kick;Earthquake;Blizzard;Thunder
32,Nidoran M,46,57,40,50,POISON,,40,40,Leer;Tackle;Horn Attack;Poison Sting;Focus Energy;Fury Attack;Double Kick
33,Nidorino,61,72,57,65,POISON,,55,55,Leer;Tackle;Horn Attack;Poison Sting;Focus Energy;Fury Attack;Double Kick
34,Nidoking,81,102,77,85,POISON,GROUND,85,75,Horn Attack;Poison Sting;Thrash;Double Kick;Earthquake;Blizzard;Thunder;Megahorn
35,Clefairy,70,45,48,35,NORMAL,,60,65,Pound;Growl;Sing;Double Slap;Minimize;Metronome;Defense Curl;Light Screen
