name,type,power,accuracy,category,effectId
Pound,NORMAL,40,100,PHYSICAL,NONE
Karate Chop,FIGHTING,50,100,PHYSICAL,NONE
Double Slap,NORMAL,15,85,PHYSICAL,MULTI_HIT
Comet Punch,NORMAL,18,85,PHYSICAL,MULTI_HIT
Mega Punch,NORMAL,80,85,PHYSICAL,NONE
Pay Day,NORMAL,40,100,PHYSICAL,NONE
Fire Punch,FIRE,75,100,PHYSICAL,BURN
Ice Punch,ICE,75,100,PHYSICAL,FREEZE
Thunder Punch,ELECTRIC,75,100,PHYSICAL,PARALYZE
Scratch,NORMAL,40,100,PHYSICAL,NONE
Vice Grip,NORMAL,55,100,PHYSICAL,NONE
Guillotine,NORMAL,0,30,PHYSICAL,OHKO
Razor Wind,NORMAL,80,100,SPECIAL,CHARGE
Swords Dance,NORMAL,0,100,STATUS,BOOST_ATK
Cut,NORMAL,50,95,PHYSICAL,NONE
Gust,FLYING,40,100,SPECIAL,NONE
Wing Attack,FLYING,60,100,PHYSICAL,NONE
Whirlwind,NORMAL,0,100,STATUS,FORCE_SWITCH
Fly,FLYING,90,95,PHYSICAL,CHARGE
Bind,NORMAL,15,85,PHYSICAL,TRAP
Slam,NORMAL,80,75,PHYSICAL,NONE
Vine Whip,GRASS,45,100,PHYSICAL,NONE
Stomp,NORMAL,65,100,PHYSICAL,FLINCH
Double Kick,FIGHTING,30,100,PHYSICAL,MULTI_HIT
Mega Kick,NORMAL,120,75,PHYSICAL,NONE
Jump Kick,FIGHTING,100,95,PHYSICAL,RECOIL
Rolling Kick,FIGHTING,60,85,PHYSICAL,FLINCH
Sand Attack,GROUND,0,100,STATUS,LOWER_ACC
Headbutt,NORMAL,70,100,PHYSICAL,FLINCH
Horn Attack,NORMAL,65,100,PHYSICAL,NONE
Fury Attack,NORMAL,15,85,PHYSICAL,MULTI_HIT
Horn Drill,NORMAL,0,30,PHYSICAL,OHKO
Tackle,NORMAL,40,100,PHYSICAL,NONE
Body Slam,NORMAL,85,100,PHYSICAL,PARALYZE
Wrap,NORMAL,15,90,PHYSICAL,TRAP
Take Down,NORMAL,90,85,PHYSICAL,RECOIL
Thrash,NORMAL,120,100,PHYSICAL,CONFUSE
Double-Edge,NORMAL,120,100,PHYSICAL,RECOIL
Tail Whip,NORMAL,0,100,STATUS,LOWER_DEF
Poison Sting,POISON,15,100,PHYSICAL,POISON
Twineedle,BUG,25,100,PHYSICAL,POISON
Pin Missile,BUG,25,95,PHYSICAL,MULTI_HIT
Leer,NORMAL,0,100,STATUS,LOWER_DEF
Bite,DARK,60,100,PHYSICAL,FLINCH
Growl,NORMAL,0,100,STATUS,LOWER_ATK
Roar,NORMAL,0,100,STATUS,FORCE_SWITCH
Sing,NORMAL,0,55,STATUS,SLEEP
Supersonic,NORMAL,0,55,STATUS,CONFUSE
Sonic Boom,NORMAL,0,90,SPECIAL,FIXED
Disable,NORMAL,0,100,STATUS,DISABLE
Acid,POISON,40,100,SPECIAL,LOWER_DEF
Ember,FIRE,40,100,SPECIAL,BURN
Flamethrower,FIRE,90,100,SPECIAL,BURN
Mist,ICE,0,100,STATUS,PROTECT_STAT
Water Gun,WATER,40,100,SPECIAL,NONE
Hydro Pump,WATER,110,80,SPECIAL,NONE
Surf,WATER,90,100,SPECIAL,NONE
Ice Beam,ICE,90,100,SPECIAL,FREEZE
Blizzard,ICE,110,70,SPECIAL,FREEZE
Psybeam,PSYCHIC,65,100,SPECIAL,CONFUSE
Bubble Beam,WATER,65,100,SPECIAL,LOWER_SPD
Aurora Beam,ICE,65,100,SPECIAL,LOWER_ATK
Hyper Beam,NORMAL,150,90,SPECIAL,RECHARGE
Peck,FLYING,35,100,PHYSICAL,NONE
Drill Peck,FLYING,80,100,PHYSICAL,NONE
Submission,FIGHTING,80,80,PHYSICAL,RECOIL
Low Kick,FIGHTING,50,100,PHYSICAL,NONE
Counter,FIGHTING,0,100,PHYSICAL,COUNTER
Seismic Toss,FIGHTING,0,100,PHYSICAL,FIXED
